num_lectures,price,days_since_published,content_duration
27,50,2023,2.5
7,20,1891,0.6833333333333333
6,0,1392,1.0
12,20,1805,2.0
25,200,1492,1.0
28,20,1714,1.0
12,20,2346,1.5
19,30,2290,1.0
16,35,1772,1.0
16,0,1786,1.5
17,50,2466,3.0
6,60,1366,0.7
36,20,1388,4.5
30,120,1980,1.5
31,100,1972,1.5
50,50,2645,3.0
12,0,1385,1.5
11,20,1800,0.5
8,20,2134,1.0
7,25,1807,0.6166666666666667
15,20,1457,1.0
11,20,1426,1.0
27,50,2476,8.5
32,195,1818,2.0
41,30,3129,2.5
15,20,1345,1.0
20,200,1594,1.5
28,20,2624,1.5
28,60,1821,5.5
12,100,1331,2.5
11,40,2286,2.5
6,60,1380,0.6666666666666666
39,200,1421,2.5
17,0,1811,1.5
22,25,2703,3.0
157,100,1563,12.5
26,95,1924,3.5
9,20,1364,1.0
40,50,1806,4.5
8,0,1350,0.65
6,80,1812,0.7
105,150,1519,5.5
29,95,1567,1.5
27,20,2232,2.0
35,200,2095,5.0
24,100,1556,1.0
7,125,1440,0.6333333333333333
43,20,1957,2.5
26,0,2681,3.5
7,0,1997,0.6
32,200,1651,3.0
10,75,1889,1.0
25,0,1395,3.5
22,20,1442,1.5
73,100,2623,9.0
49,50,1466,3.0
23,40,1716,5.5
10,20,2500,1.0
23,40,1706,1.5
212,195,1471,37.5
42,35,2092,2.0
23,200,2067,2.0
38,20,1987,3.5
10,20,3222,0.6
16,40,1906,1.5
104,50,2121,5.0
45,50,1777,3.5
13,0,1938,1.0
24,60,1601,1.5
37,50,1804,3.5
32,50,1658,2.0
38,140,1443,3.0
59,50,1918,2.5
22,50,1777,2.0
22,20,2011,1.5
55,20,1633,10.0
9,20,1395,0.5333333333333333
9,50,2353,0.6833333333333333
9,0,1533,1.0
26,200,1456,1.5
12,100,1331,1.5
38,20,1448,4.0
12,20,2130,0.65
132,100,1807,16.0
15,150,1551,0.65
32,20,1877,3.0
46,200,1483,3.5
21,200,1518,1.5
72,195,1851,5.0
25,20,2217,2.0
16,200,1930,1.5
137,110,1619,7.0
10,50,1630,0.5666666666666667
11,0,1761,1.0
21,100,1709,2.0
24,200,1345,4.0
5,200,1953,0.5333333333333333
89,50,2134,6.0
12,25,1490,1.0
6,130,1440,0.5333333333333333
98,150,2002,19.5
74,55,1771,5.0
14,40,1366,1.0
20,100,2361,1.0
50,195,1521,6.5
22,50,2657,1.0
53,50,2539,5.0
20,120,1751,2.0
19,25,2068,1.5
12,50,2768,1.0
211,25,1769,20.5
12,0,1923,1.5
28,35,1393,2.0
21,50,2466,3.5
16,60,1569,1.0
12,50,1426,1.5
66,195,2277,9.0
45,50,1444,6.0
124,200,2863,22.0
14,75,1572,1.5
8,20,1748,1.0
5,20,2514,1.0
20,0,2141,1.0
19,95,1575,1.0
44,100,1392,2.0
76,150,1544,5.5
22,0,1491,2.5
6,160,1869,1.0
43,20,2046,4.0
47,165,1419,5.5
30,50,1784,1.5
19,0,1541,2.0
11,20,2557,1.5
20,20,2123,1.0
11,45,1831,2.0
25,100,1632,2.5
86,90,2094,6.5
54,200,1345,3.0
11,20,1697,1.5
55,175,2137,7.0
6,20,1454,1.5
17,25,2185,1.0
49,100,1910,5.0
17,0,1820,1.0
14,40,2027,1.0
8,65,1612,1.5
136,50,2733,12.0
15,20,1590,0.6333333333333333
19,20,2081,3.0
7,20,1400,0.5833333333333334
64,150,1670,6.5
25,40,2197,2.0
9,20,1861,2.0
24,35,2015,1.5
70,195,1931,7.5
5,0,1819,1.0
6,0,1359,1.0
24,30,1579,2.0
81,195,1730,5.0
19,100,1331,3.0
134,150,2210,12.0
7,0,1885,0.6
20,50,2466,3.0
42,25,2701,3.0
13,0,1332,0.65
26,145,1948,1.5
41,30,1574,4.0
13,20,2108,2.0
20,95,1598,2.0
13,20,2152,1.5
8,20,1801,1.5
13,40,1359,1.0
111,150,1752,8.5
5,25,2227,0.5333333333333333
19,20,2252,1.5
33,35,1854,1.0
57,195,1520,17.0
56,200,2189,5.5
20,80,1574,1.0
43,50,2138,5.5
14,20,1379,0.6166666666666667
77,60,1870,5.5
29,20,1401,4.5
162,60,1773,18.5
31,95,2022,1.5
13,100,1910,1.5
73,200,1388,7.0
43,75,1457,1.0
10,20,2014,1.0
25,20,2252,1.5
10,25,1597,0.6
62,50,1975,3.0
13,50,1818,2.0
23,50,1535,1.0
62,50,3368,4.5
43,200,1968,4.5
37,40,2276,1.0
27,40,2144,1.0
80,50,1692,12.0
35,200,1511,2.5
7,20,1977,1.0
35,50,1787,5.0
33,75,2665,5.0
21,200,1579,2.0
25,50,2665,2.0
25,95,1366,2.0
56,120,1583,8.5
7,45,1720,1.0
78,20,2196,6.0
12,20,2407,1.5
97,100,1985,11.0
27,75,1862,5.5
14,20,2677,1.0
18,50,2533,3.0
73,170,1761,5.0
22,20,2054,1.0
12,20,2478,1.0
20,25,1525,1.0
21,20,2066,1.0
13,60,2915,1.5
33,20,1473,5.0
18,70,2045,1.5
80,50,1612,5.5
14,25,1665,0.5333333333333333
48,20,1583,4.5
15,35,2549,1.5
13,20,1703,0.5833333333333334
20,60,2213,1.5
11,0,1790,0.6333333333333333
31,70,1527,2.5
33,0,1358,3.5
9,50,1925,1.0
30,50,1959,1.5
28,20,1709,1.5
31,50,1773,1.0
10,20,1794,1.0
40,105,2113,2.5
62,60,1864,11.0
7,45,1542,0.55
13,30,2501,2.0
16,195,1799,2.0
17,100,1372,2.5
17,35,1402,1.5
26,150,1471,3.0
64,195,1353,6.5
12,30,1982,1.5
29,50,1713,2.0
25,50,3019,4.0
59,145,1512,3.0
11,0,2077,1.5
36,70,1755,3.5
26,20,1780,3.0
55,200,2236,6.5
32,40,1906,3.5
135,40,2058,6.0
26,65,1823,1.0
12,200,1545,1.0
45,50,2589,7.0
12,25,1710,1.0
31,50,1896,1.0
16,50,1338,1.0
49,40,1598,6.0
15,50,1718,1.5
14,20,1409,1.5
30,40,2431,3.5
18,195,2124,1.5
20,50,2491,4.5
57,50,3045,7.5
28,20,2234,2.0
31,0,1974,2.5
14,25,1530,2.0
42,195,1872,4.5
38,195,2092,2.5
16,200,1330,1.5
14,20,2753,1.5
11,20,1496,1.5
22,40,1401,2.0
18,40,1955,1.0
19,200,1598,1.0
65,165,1558,18.5
45,150,1865,4.0
24,180,2906,4.5
17,50,1808,1.5
33,35,1387,1.0
83,30,2214,5.0
31,50,1364,6.0
9,20,1949,0.6166666666666667
74,200,1337,8.5
125,200,1351,19.5
8,20,2673,1.0
25,20,1675,1.5
14,75,1786,1.0
16,95,2184,2.0
30,120,1995,3.0
7,20,1500,1.0
39,95,2283,2.0
32,0,2019,3.0
23,20,2466,3.0
41,195,1820,4.0
54,35,1926,4.0
89,150,1569,20.5
6,20,1366,0.7
33,25,1457,1.5
33,30,2275,2.0
18,40,2433,3.0
308,150,1763,29.5
28,85,1946,2.5
9,40,1545,0.6333333333333333
10,200,1463,2.0
52,35,3310,3.5
36,25,1336,3.0
98,175,1613,16.5
6,20,1360,0.5666666666666667
16,20,2309,2.0
18,0,1330,1.5
10,25,1525,1.0
64,35,3082,10.0
26,95,1798,2.0
39,95,1757,3.0
20,140,1925,1.5
28,100,2157,3.0
10,50,1702,1.0
17,25,2295,1.5
34,30,1700,3.5
65,150,1555,4.5
12,20,2821,1.0
30,85,2308,2.5
100,50,2303,6.0
13,0,1783,1.0
66,70,1876,6.5
40,50,1981,3.0
13,0,1385,2.0
30,95,2189,2.5
15,0,2329,2.5
9,25,1689,1.0
9,20,1913,1.0
15,200,1440,0.7333333333333333
21,55,1675,1.0
18,40,2157,2.5
18,50,1464,2.0
19,200,1595,1.5
211,200,2070,19.5
67,195,1940,7.0
49,60,1816,3.0
64,50,1693,4.5
74,25,2087,14.0
36,0,1412,5.0
34,25,1899,4.0
8,20,1329,0.5833333333333334
10,40,1633,0.6166666666666667
15,50,1619,0.6666666666666666
96,150,1877,11.0
115,100,1568,11.5
71,50,2578,1.5
126,50,2303,7.5
35,50,1975,2.0
7,50,1751,1.0
60,40,1644,2.0
19,200,1388,2.0
94,50,1815,13.0
33,20,1822,2.0
21,150,1461,2.0
30,145,2037,1.5
23,0,1427,2.0
43,30,1490,2.5
15,45,1828,2.0
72,200,1737,5.5
12,0,2175,1.0
32,20,2070,1.5
21,200,1730,2.0
18,20,2012,1.5
29,105,2337,2.5
27,45,1358,3.5
87,50,2765,47.0
28,20,2293,2.5
36,20,1598,1.0
77,100,1472,10.0
13,0,1457,0.6166666666666667
24,35,1900,1.5
